StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR_OMNI,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,TRU6,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PI4,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,CELL,AIP_COND,DISC_COND
2026-09-10 01:04:17,2026-09-10 01:13:16,0,113.185.77.254,100,538,1,2026-09-10 01:13:17,R_461RlhkOv3OSGWt,,,,,10.822,106.6257,anonymous,VI,true,FL_56,,1,1,1,1,2,7,6,7,6,6,5,7,5,7,7,7,6,6,6,5,6,6,7,7,6,5,6,7,6,6,7,6,2,6,5,7,7,7,6,6,7,6,2,1,1,3,2,3,1,,4,"1,3,5",1,0,0
2026-09-10 01:04:16,2026-09-10 01:13:38,0,171.253.136.147,100,562,1,2026-09-10 01:13:39,R_4QRSHuKgDjfuLMc,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,2,2,6,6,6,5,6,5,6,6,5,2,3,4,6,5,5,6,3,3,3,3,4,6,6,6,6,6,6,2,4,3,3,3,5,6,5,5,5,2,1,1,3,1,3,3,,2,"1,2,3",3,1,0
2026-09-10 01:04:21,2026-09-10 01:20:14,0,14.241.251.212,100,953,1,2026-09-10 01:20:15,R_9stt3PMaSgl0aQh,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,1,1,7,7,7,7,7,5,6,5,6,4,3,4,4,4,5,6,6,4,6,6,6,6,5,4,6,3,4,2,5,6,6,5,7,7,7,7,2,7,1,2,3,1,3,1,,4,"1,2,3",2,0,1
2026-09-10 01:43:35,2026-09-10 01:44:08,0,125.234.97.122,100,32,1,2026-09-10 01:44:08,R_45ZFUvBwQlG6Sgp,,,,,10.822,106.6257,anonymous,VI,,FL_55,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-10 02:08:25,2026-09-10 02:13:58,0,113.185.79.199,100,333,1,2026-09-10 02:13:59,R_9Lta5h1Aenui6Eg,,,,,10.822,106.6257,anonymous,VI,,FL_34,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-09-10 02:14:33,2026-09-10 02:21:46,0,113.185.78.70,100,433,1,2026-09-10 02:21:47,R_9LhUSAkCnkFoqtx,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,2,2,7,7,7,6,5,5,5,6,6,4,3,3,3,3,5,7,7,5,7,6,7,4,5,5,5,5,4,2,6,6,5,5,7,7,7,7,6,2,1,2,3,1,3,1,,4,"1,2,3,4,5",3,1,0
2026-09-10 00:49:11,2026-09-10 02:22:24,0,14.241.251.212,100,5593,1,2026-09-10 02:22:25,R_9ZDeuLz6I1jYKip,,,,,10.822,106.6257,anonymous,VI,true,FL_56,,1,1,1,1,1,3,6,5,2,7,2,3,7,4,3,6,2,4,6,6,3,4,5,7,3,6,7,6,3,3,4,2,7,6,4,3,7,6,4,7,3,2,4,1,1,3,1,3,1,,2,"1,2",2,0,1
2026-09-10 02:14:49,2026-09-10 02:22:35,0,113.185.79.199,100,465,1,2026-09-10 02:22:35,R_9GLO1JyQuKH6ODD,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,1,2,3,2,4,3,2,5,3,5,3,2,2,3,2,2,5,6,4,2,5,4,3,4,6,3,5,6,6,2,6,4,3,5,7,7,7,7,5,7,1,1,1,1,3,1,,4,"1,3,5",1,0,0
2026-09-10 03:08:21,2026-09-10 03:09:22,0,183.91.31.38,100,60,1,2026-09-10 03:09:28,R_4JJIDOgTzYOi4Q2,,,,,10.822,106.6257,anonymous,VI,,FL_36,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2026-09-10 03:11:37,2026-09-10 03:12:34,0,183.91.31.38,100,56,1,2026-09-10 03:12:34,R_4Qlx9Dsk1oW1XNe,,,,,10.822,106.6257,anonymous,VI,,FL_34,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-09-10 03:13:18,2026-09-10 03:13:34,0,183.91.31.38,100,15,1,2026-09-10 03:13:34,R_4gEtDEszuhTxctz,,,,,10.822,106.6257,anonymous,VI,true,FL_36,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2026-09-10 03:15:21,2026-09-10 03:16:11,0,42.119.182.198,100,49,1,2026-09-10 03:16:12,R_3eJM4lvkh5ECjvr,,,,,10.822,106.6257,anonymous,VI,,FL_34,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-09-10 03:16:18,2026-09-10 03:16:44,0,42.119.182.198,100,26,1,2026-09-10 03:16:45,R_1JFTrBD0Dv9uftD,,,,,10.822,106.6257,anonymous,VI,true,FL_36,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-09-10 03:11:24,2026-09-10 03:16:48,0,171.251.234.52,100,323,1,2026-09-10 03:16:48,R_9jw72vA0EBKEK9c,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,2,1,1,1,1,3,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,2,5,1,,4,"1,3",4,1,1
2026-09-10 03:16:50,2026-09-10 03:17:09,0,42.119.182.198,100,18,1,2026-09-10 03:17:09,R_51GaXnqq0UdKIDt,,,,,10.822,106.6257,anonymous,VI,true,FL_34,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-09-10 03:17:13,2026-09-10 03:17:32,0,42.119.182.198,100,19,1,2026-09-10 03:17:33,R_7lLiCARxKJnEQMY,,,,,10.822,106.6257,anonymous,VI,true,FL_32,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-09-10 03:17:19,2026-09-10 03:17:32,0,171.224.114.39,100,13,1,2026-09-10 03:17:33,R_9sMrWYKcLeuKiop,,,,,10.822,106.6257,anonymous,VI,,FL_55,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-10 03:17:46,2026-09-10 03:17:55,0,171.224.114.39,100,8,1,2026-09-10 03:17:55,R_4c7TFzrmrKze6La,,,,,10.822,106.6257,anonymous,VI,true,FL_55,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-10 03:17:29,2026-09-10 03:18:42,0,14.186.89.214,100,73,1,2026-09-10 03:18:42,R_9QrSVuif2p4YTkT,,,,,10.822,106.6257,anonymous,VI,,FL_38,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-09-10 03:18:55,2026-09-10 03:19:31,0,14.186.89.214,100,35,1,2026-09-10 03:19:32,R_4BImp1lqAG3dHqx,,,,,10.822,106.6257,anonymous,VI,true,FL_36,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-09-10 03:14:26,2026-09-10 03:24:17,0,113.185.76.227,100,591,1,2026-09-10 03:24:18,R_9MFjwIiuIyNEUtF,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,1,1,7,6,5,7,6,6,6,6,5,5,5,5,6,4,5,5,4,4,4,4,3,4,5,4,4,4,4,2,5,5,4,4,6,6,6,7,6,6,1,2,3,1,4,3,,4,2,2,0,1
2026-09-10 03:19:43,2026-09-10 03:24:49,0,14.186.89.214,100,305,1,2026-09-10 03:24:50,R_9NCX3vpTuREFUOZ,,,,,10.822,106.6257,anonymous,VI,true,FL_56,,1,1,1,2,1,5,6,6,6,4,6,6,6,6,2,2,2,2,2,5,5,6,4,5,5,5,7,6,7,7,6,6,2,6,6,6,6,6,6,6,6,6,6,1,2,1,1,4,3,,4,1,4,1,1
2026-09-10 03:26:28,2026-09-10 03:27:35,0,14.184.203.124,100,66,1,2026-09-10 03:27:35,R_9AIagASV9aBfqAF,,,,,10.9794,106.6485,anonymous,VI,,FL_32,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-09-10 03:33:51,2026-09-10 03:34:09,0,183.91.31.38,100,17,1,2026-09-10 03:34:10,R_4CeqgAx0AR5a1qF,,,,,10.822,106.6257,anonymous,VI,true,FL_36,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2026-09-10 03:18:06,2026-09-10 03:34:56,0,171.224.113.190,100,1010,1,2026-09-10 03:34:57,R_9qqvmCTi5ZAzuF6,,,,,10.822,106.6257,anonymous,VI,true,FL_56,,1,1,1,1,2,3,3,3,3,5,3,4,5,5,5,5,5,2,7,5,4,7,3,5,5,3,2,1,4,1,6,3,2,1,5,1,3,5,3,5,2,6,6,1,1,1,1,3,1,,3,"1,5",1,0,0
2026-09-10 04:13:14,2026-09-10 04:19:37,0,14.186.89.214,100,382,1,2026-09-10 04:19:38,R_4CHi95aTZaYHGQ3,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,2,1,5,5,5,4,4,5,6,6,6,3,2,2,2,2,5,4,4,2,4,4,4,4,3,5,4,4,4,2,4,5,5,4,5,7,7,7,5,6,1,2,3,2,4,3,,4,1,4,1,1
2026-09-10 04:37:07,2026-09-10 04:40:22,0,42.119.182.198,100,194,1,2026-09-10 04:40:22,R_9ISibhfTKsiUQCT,,,,,10.822,106.6257,anonymous,VI,,FL_36,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-09-10 04:40:28,2026-09-10 04:40:44,0,42.119.182.198,100,16,1,2026-09-10 04:40:45,R_4Kqn8arS2SxrVV6,,,,,10.822,106.6257,anonymous,VI,true,FL_32,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-09-10 04:43:53,2026-09-10 04:45:39,0,125.235.239.162,100,105,1,2026-09-10 04:45:39,R_9eQkSR4ReMiq50i,,,,,10.0361,105.7941,anonymous,VI,,FL_34,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-09-10 04:41:38,2026-09-10 04:47:05,0,42.119.182.198,100,326,1,2026-09-10 04:47:06,R_6vbGVeJsxxnOqSB,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,1,2,6,7,7,6,7,7,6,6,6,3,2,1,4,4,5,6,7,7,6,5,5,7,7,5,4,4,6,2,7,7,6,7,4,7,7,7,7,6,1,2,3,1,3,1,,4,"1,2,3,4,5",1,0,0
2026-09-10 03:17:39,2026-09-10 04:47:43,0,42.119.182.198,100,5404,1,2026-09-10 04:47:44,R_7QMSBIav85QXtmI,,,,,10.822,106.6257,anonymous,VI,true,FL_56,,1,1,1,1,2,6,4,7,5,5,6,7,6,7,4,1,3,4,3,5,7,5,6,7,6,7,7,7,6,6,7,5,2,7,6,7,6,7,5,7,7,7,6,1,2,3,2,4,1,,3,"1,2,5",1,0,0
2026-09-10 05:28:25,2026-09-10 05:32:05,0,1.54.112.69,100,220,1,2026-09-10 05:32:06,R_4ozH30TOczKNVtw,,,,,10.9413,106.8221,anonymous,VI,,FL_56,,1,1,1,1,1,7,6,7,6,6,6,6,7,7,2,3,3,3,3,5,6,6,6,5,7,6,6,6,6,7,6,7,2,7,6,7,6,7,6,7,6,6,7,1,1,3,2,3,1,,3,"1,3",2,0,1
2026-09-10 05:34:40,2026-09-10 05:41:37,0,171.243.50.189,100,417,1,2026-09-10 05:41:38,R_92WIrHc533Lo1oT,,,,,10.822,106.6257,anonymous,VI,,FL_56,,1,1,1,2,1,6,5,5,6,5,6,6,5,5,5,5,6,4,6,6,6,5,6,5,5,6,5,5,6,4,6,5,6,5,6,6,6,5,6,6,5,6,5,1,1,3,1,3,1,,3,"1,4",4,1,1
2026-09-10 05:44:43,2026-09-10 05:55:56,0,1.52.188.208,100,672,1,2026-09-10 05:55:56,R_4PMYFs3AIe34dJT,,,,,16.0685,108.2215,anonymous,VI,,FL_56,,1,1,1,1,2,6,2,2,4,6,4,4,2,6,2,2,2,2,5,5,3,4,4,6,5,5,6,4,4,6,6,4,2,5,6,6,3,6,6,7,6,1,1,1,1,3,1,2,1,,3,1,1,0,0
