StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR_OMNI,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,TRU6,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PI4,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,CELL,AIP_COND,DISC_COND,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_STORE,CHAN_SOC,flag_cell_mismatch,AIP_mean,REL_mean,INT_mean,TRU_mean,ENG_mean,PI_mean,PDPL_mean,flag_extreme_reverser
2026-09-10 02:14:49,2026-09-10 02:22:35,0,100,465,1,2026-09-10 02:22:35,R_9GLO1JyQuKH6ODD,anonymous,VI,,FL_56,,1,1,1,1,2,3,2,4,3,2,5,3,5,3,2,2,3,2,2,5,6,4,2,5,4,3,4,6,3,5,6,6,2,6,4,3,5,7,7,7,7,5,7,1.0,1.0,1.0,1.0,3.0,1.0,,4.0,"1,3,5",1.0,0,0,,,,,True,False,True,False,True,False,2.8,4.0,2.2,4.0,5.0,4.5,7.0,True
2026-09-10 03:11:24,2026-09-10 03:16:48,0,100,323,1,2026-09-10 03:16:48,R_9jw72vA0EBKEK9c,anonymous,VI,,FL_56,,1,1,1,2,1,1,1,1,3,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0,2.0,3.0,2.0,5.0,1.0,,4.0,"1,3",4.0,1,1,,,,,True,False,True,False,False,False,2.2,4.75,4.0,4.0,4.0,4.0,4.0,False
2026-09-10 03:14:26,2026-09-10 03:24:17,0,100,591,1,2026-09-10 03:24:18,R_9MFjwIiuIyNEUtF,anonymous,VI,,FL_56,,1,1,1,1,1,7,6,5,7,6,6,6,6,5,5,5,5,6,4,5,5,4,4,4,4,3,4,5,4,4,4,4,2,5,5,4,4,6,6,6,7,6,6,1.0,2.0,3.0,1.0,4.0,3.0,,4.0,2,2.0,0,1,,,,,False,True,False,False,False,False,6.2,5.75,5.0,4.0,4.166666666666667,4.5,6.25,True
2026-09-10 03:19:43,2026-09-10 03:24:49,0,100,305,1,2026-09-10 03:24:50,R_9NCX3vpTuREFUOZ,anonymous,VI,True,FL_56,,1,1,1,2,1,5,6,6,6,4,6,6,6,6,2,2,2,2,2,5,5,6,4,5,5,5,7,6,7,7,6,6,2,6,6,6,6,6,6,6,6,6,6,1.0,2.0,1.0,1.0,4.0,3.0,,4.0,1,4.0,1,1,,,,,True,False,False,False,False,False,5.4,6.0,2.0,5.0,6.5,6.0,6.0,False
2026-09-10 03:18:06,2026-09-10 03:34:56,0,100,1010,1,2026-09-10 03:34:57,R_9qqvmCTi5ZAzuF6,anonymous,VI,True,FL_56,,1,1,1,1,2,3,3,3,3,5,3,4,5,5,5,5,5,2,7,5,4,7,3,5,5,3,2,1,4,1,6,3,2,1,5,1,3,5,3,5,2,6,6,1.0,1.0,1.0,1.0,3.0,1.0,,3.0,"1,5",1.0,0,0,,,,,True,False,False,False,True,False,3.4,4.25,4.8,4.5,2.8333333333333335,2.5,3.75,True
2026-09-10 04:13:14,2026-09-10 04:19:37,0,100,382,1,2026-09-10 04:19:38,R_4CHi95aTZaYHGQ3,anonymous,VI,,FL_56,,1,1,1,2,1,5,5,5,4,4,5,6,6,6,3,2,2,2,2,5,4,4,2,4,4,4,4,3,5,4,4,4,2,4,5,5,4,5,7,7,7,5,6,1.0,2.0,3.0,2.0,4.0,3.0,,4.0,1,4.0,1,1,,,,,True,False,False,False,False,False,4.6,5.75,2.2,3.6666666666666665,4.0,4.5,6.5,False
2026-09-10 04:41:38,2026-09-10 04:47:05,0,100,326,1,2026-09-10 04:47:06,R_6vbGVeJsxxnOqSB,anonymous,VI,,FL_56,,1,1,1,1,2,6,7,7,6,7,7,6,6,6,3,2,1,4,4,5,6,7,7,6,5,5,7,7,5,4,4,6,2,7,7,6,7,4,7,7,7,7,6,1.0,2.0,3.0,1.0,3.0,1.0,,4.0,"1,2,3,4,5",1.0,0,0,,,,,True,True,True,True,True,False,6.6,6.25,2.8,6.0,5.5,6.75,6.25,True
2026-09-10 03:17:39,2026-09-10 04:47:43,0,100,5404,1,2026-09-10 04:47:44,R_7QMSBIav85QXtmI,anonymous,VI,True,FL_56,,1,1,1,1,2,6,4,7,5,5,6,7,6,7,4,1,3,4,3,5,7,5,6,7,6,7,7,7,6,6,7,5,2,7,6,7,6,7,5,7,7,7,6,1.0,2.0,3.0,2.0,4.0,1.0,,3.0,"1,2,5",1.0,0,0,,,,,True,True,False,False,True,False,5.4,6.5,3.0,6.333333333333333,6.333333333333333,6.5,6.5,True
2026-09-10 05:28:25,2026-09-10 05:32:05,0,100,220,1,2026-09-10 05:32:06,R_4ozH30TOczKNVtw,anonymous,VI,,FL_56,,1,1,1,1,1,7,6,7,6,6,6,6,7,7,2,3,3,3,3,5,6,6,6,5,7,6,6,6,6,7,6,7,2,7,6,7,6,7,6,7,6,6,7,1.0,1.0,3.0,2.0,3.0,1.0,,3.0,"1,3",2.0,0,1,,,,,True,False,True,False,False,False,6.4,6.5,2.8,6.0,6.333333333333333,6.5,6.5,True
2026-09-10 05:34:40,2026-09-10 05:41:37,0,100,417,1,2026-09-10 05:41:38,R_92WIrHc533Lo1oT,anonymous,VI,,FL_56,,1,1,1,2,1,6,5,5,6,5,6,6,5,5,5,5,6,4,6,6,6,5,6,5,5,6,5,5,6,4,6,5,6,5,6,6,6,5,6,6,5,6,5,1.0,1.0,3.0,1.0,3.0,1.0,,3.0,"1,4",4.0,1,1,,,,,True,False,False,True,False,False,5.4,5.5,5.2,5.5,5.166666666666667,5.75,5.5,False
2026-09-10 05:44:43,2026-09-10 05:55:56,0,100,672,1,2026-09-10 05:55:56,R_4PMYFs3AIe34dJT,anonymous,VI,,FL_56,,1,1,1,1,2,6,2,2,4,6,4,4,2,6,2,2,2,2,5,5,3,4,4,6,5,5,6,4,4,6,6,4,2,5,6,6,3,6,6,7,6,1,1,1.0,1.0,3.0,1.0,2.0,1.0,,3.0,1,1.0,0,0,,,,,True,False,False,False,False,False,4.0,4.0,2.6,4.5,5.0,5.0,6.25,False
2026-09-10 07:13:29,2026-09-10 07:22:03,0,100,514,1,2026-09-10 07:22:04,R_4q5CLs2VtB7tDyx,anonymous,VI,,FL_56,,1,1,1,1,1,1,2,1,1,2,1,1,1,4,1,2,1,1,1,5,6,7,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,7,6,6,1,6,1.0,1.0,1.0,2.0,2.0,3.0,,4.0,1,2.0,0,1,,,,,True,False,False,False,False,False,1.4,1.75,1.2,6.166666666666667,6.0,6.0,6.25,False
2026-09-10 07:51:26,2026-09-10 07:57:58,0,100,391,1,2026-09-10 07:57:58,R_9GDkKYpNfOj2oGk,anonymous,VI,,FL_56,,1,1,1,2,1,7,7,7,7,7,6,6,6,6,4,3,4,2,2,5,7,7,7,5,5,5,4,6,5,5,4,5,2,6,6,6,6,7,6,7,6,6,7,1.0,1.0,1.0,2.0,4.0,3.0,,2.0,"1,3,4,5",4.0,1,1,,,,,True,False,True,True,True,False,7.0,6.0,3.0,6.0,4.833333333333333,6.0,6.5,False
2026-09-10 08:05:04,2026-09-10 08:11:32,0,100,387,1,2026-09-10 08:11:32,R_4v7dvCqLBb1Xy4j,anonymous,VI,,FL_56,,1,1,1,2,2,5,7,7,7,7,5,6,7,6,4,4,4,3,4,5,5,6,6,4,6,4,4,5,4,5,5,5,2,6,6,6,5,7,7,7,7,7,1,1.0,2.0,3.0,3.0,5.0,1.0,,4.0,"1,2,3,4,5",3.0,1,0,,,,,True,True,True,True,True,False,6.6,6.0,3.8,5.166666666666667,4.666666666666667,5.75,7.0,False
2026-09-10 08:23:12,2026-09-10 08:30:42,0,100,449,1,2026-09-10 08:30:43,R_93pxMsOOFN3hsDD,anonymous,VI,,FL_56,,1,1,1,1,2,4,6,6,5,5,6,5,6,6,3,4,4,4,3,5,6,5,5,5,6,4,6,5,6,6,5,6,2,6,6,6,6,6,6,6,6,6,6,1.0,2.0,3.0,1.0,3.0,3.0,,4.0,"2,3,5",1.0,0,0,,,,,False,True,True,False,True,False,5.2,5.75,3.6,5.166666666666667,5.666666666666667,6.0,6.0,True
2026-09-10 08:34:00,2026-09-10 08:40:36,0,100,395,1,2026-09-10 08:40:36,R_4emMfcFGCaTpo8c,anonymous,VI,,FL_56,,1,1,1,1,1,4,5,5,4,5,5,6,5,6,1,2,1,1,1,5,6,7,5,6,7,7,6,6,6,4,6,6,2,6,6,6,6,7,7,7,7,5,6,1.0,2.0,1.0,1.0,3.0,3.0,,3.0,1,2.0,0,1,,,,,True,False,False,False,False,False,4.6,5.5,1.2,6.333333333333333,5.666666666666667,6.0,7.0,True
2026-09-10 08:40:38,2026-09-10 08:48:16,0,100,458,1,2026-09-10 08:48:17,R_9Ja2ve5Is3wfiIQ,anonymous,VI,True,FL_56,,1,1,1,2,1,6,5,6,4,2,5,6,5,5,3,3,6,2,3,5,5,6,5,5,6,5,4,4,5,4,5,4,2,5,6,5,5,7,7,7,7,6,6,1.0,2.0,3.0,2.0,5.0,1.0,,4.0,1,4.0,1,1,,,,,True,False,False,False,False,False,4.6,5.25,3.4,5.333333333333333,4.333333333333333,5.25,7.0,False
2026-09-10 08:37:27,2026-09-10 08:56:32,0,100,1144,1,2026-09-10 08:56:32,R_44LTJ2Vq3HSIwYV,anonymous,VI,True,FL_56,,1,1,1,1,2,4,2,6,5,2,4,6,2,6,2,2,2,2,2,5,6,5,4,4,6,4,6,6,6,6,6,4,2,6,6,6,4,6,6,6,6,6,6,1.0,1.0,1.0,2.0,4.0,1.0,,4.0,1,1.0,0,0,,,,,True,False,False,False,False,False,3.8,4.5,2.0,4.833333333333333,5.666666666666667,5.5,6.0,True
2026-09-10 09:02:37,2026-09-10 09:07:59,0,100,321,1,2026-09-10 09:08:00,R_9kIkVIW64627nYU,anonymous,VI,,FL_56,,1,1,1,1,1,6,6,7,7,5,5,6,7,4,4,4,2,3,1,5,6,5,4,4,5,3,6,6,5,5,6,5,2,4,6,5,4,7,7,7,7,6,5,1.0,1.0,3.0,2.0,3.0,1.0,,4.0,"1,2,3",2.0,0,1,,,,,True,True,True,False,False,False,6.2,5.5,2.8,4.5,5.5,4.75,7.0,True
2026-09-10 09:05:07,2026-09-10 09:08:16,0,100,188,1,2026-09-10 09:08:16,R_9j2K51QR3jR4LU9,anonymous,VI,True,FL_56,,1,1,1,1,2,5,5,7,5,5,7,7,7,7,7,7,7,6,7,5,4,5,4,6,6,6,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,1.0,2.0,3.0,2.0,4.0,1.0,,4.0,2,1.0,0,0,,,,,False,True,False,False,False,False,5.4,7.0,6.8,5.166666666666667,7.0,7.0,7.0,True
2026-09-10 09:10:03,2026-09-10 09:14:25,0,100,261,1,2026-09-10 09:14:26,R_9nOcCjyr59jXvwN,anonymous,VI,True,FL_56,,1,1,1,1,2,6,6,6,5,5,6,6,6,6,2,2,2,1,2,5,6,6,7,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,5,6,1.0,2.0,3.0,1.0,3.0,1.0,,4.0,"1,3",1.0,0,0,,,,,True,False,True,False,False,False,5.6,6.0,1.8,6.166666666666667,6.0,6.0,6.0,True
2026-09-10 18:20:34,2026-09-10 18:26:19,0,100,344,1,2026-09-10 18:26:20,R_4GxEUULoCE9Oukh,anonymous,VI,True,FL_56,,1,1,1,1,2,5,5,6,6,5,6,6,5,6,4,3,4,4,3,5,5,5,5,4,5,5,5,6,6,5,6,6,2,5,4,5,5,6,6,6,6,6,6,1.0,2.0,1.0,1.0,5.0,3.0,,4.0,"1,2,3",1.0,0,0,,,,,True,True,True,False,False,False,5.4,5.75,3.6,4.833333333333333,5.666666666666667,4.75,6.0,True
2026-09-10 21:26:19,2026-09-10 21:34:54,0,100,515,1,2026-09-10 21:34:55,R_9exDmGTXJh3FjsI,anonymous,VI,,FL_56,,1,1,1,1,1,4,4,2,2,2,4,4,5,5,2,4,2,2,3,5,6,6,6,6,6,6,4,6,6,5,4,5,2,4,4,6,6,7,7,7,7,7,7,1.0,1.0,3.0,3.0,3.0,3.0,,3.0,1,2.0,0,1,,,,,True,False,False,False,False,False,2.8,4.5,2.6,6.0,5.0,5.0,7.0,True
2026-09-10 21:29:00,2026-09-10 21:35:57,0,100,416,1,2026-09-10 21:35:57,R_9EgN9P6NXgsUBQq,anonymous,VI,,FL_56,,1,1,1,1,1,6,3,6,5,4,5,6,5,3,4,6,5,5,4,5,5,5,5,3,5,4,6,5,6,6,6,5,5,6,6,6,6,5,6,7,4,4,5,1.0,2.0,3.0,3.0,5.0,1.0,,4.0,"1,2,3,5",2.0,0,1,,,,,True,True,True,False,True,False,4.8,4.75,4.8,4.5,5.666666666666667,6.0,5.5,False
2026-09-10 21:28:40,2026-09-10 21:36:56,0,100,495,1,2026-09-10 21:37:02,R_9Ej2vDtpcf9ZoGd,anonymous,VI,,FL_56,,1,1,1,2,1,7,7,7,7,7,7,7,7,4,5,5,4,4,4,5,4,3,4,4,4,4,4,3,3,3,4,3,2,3,5,3,2,4,7,7,7,7,7,1.0,1.0,1.0,1.0,3.0,1.0,,4.0,"1,3",4.0,1,1,,,,,True,False,True,False,False,False,7.0,6.25,4.4,3.8333333333333335,3.3333333333333335,3.25,6.25,False
2026-09-10 21:24:14,2026-09-10 21:42:51,0,100,1117,1,2026-09-10 21:42:56,R_907bPjbsSbuPotj,anonymous,VI,,FL_56,,1,1,1,2,2,4,6,6,5,6,5,6,4,6,2,3,4,5,3,5,5,5,5,5,5,5,3,5,6,3,3,5,2,4,4,5,5,6,6,6,4,5,4,1.0,2.0,3.0,1.0,4.0,1.0,,4.0,"1,2,3,5",3.0,1,0,,,,,True,True,True,False,True,False,5.4,5.25,3.4,5.0,4.166666666666667,4.5,5.5,False
2026-09-10 21:51:17,2026-09-10 21:56:47,0,100,330,1,2026-09-10 21:56:48,R_9PuFvQiBEDUc8ns,anonymous,VI,True,FL_56,,1,1,1,1,2,7,7,7,7,7,7,5,7,6,2,5,3,1,3,7,5,5,7,4,7,5,4,5,4,4,3,4,2,6,5,5,5,6,5,6,6,6,6,1.0,2.0,3.0,1.0,4.0,1.0,,4.0,"2,3",1.0,0,0,,,,,False,True,True,False,False,False,7.0,6.25,2.8,5.5,4.0,5.25,5.75,True
2026-09-10 21:44:19,2026-09-10 22:06:38,0,100,1339,1,2026-09-10 22:06:39,R_42RL5dy4ecyOfVT,anonymous,VI,,FL_56,,1,1,1,1,2,6,6,7,6,6,7,6,6,7,2,4,2,2,2,5,6,5,6,4,6,6,6,6,6,7,6,6,2,5,6,6,4,7,7,7,7,7,7,1.0,1.0,3.0,1.0,3.0,1.0,,3.0,"1,3",1.0,0,0,,,,,True,False,True,False,False,False,6.2,6.5,2.4,5.5,6.166666666666667,5.25,7.0,True
2026-09-10 22:11:02,2026-09-10 22:14:15,0,100,192,1,2026-09-10 22:14:16,R_9ztHHoDOYRnAZlD,anonymous,VI,True,FL_56,,1,1,1,2,1,6,6,6,6,6,6,6,6,6,2,2,2,2,2,5,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,1.0,1.0,3.0,1.0,3.0,1.0,,2.0,"1,4",4.0,1,1,,,,,True,False,False,True,False,False,6.0,6.0,2.0,6.0,6.0,6.0,6.0,False
2026-09-10 22:03:32,2026-09-10 22:14:51,0,100,678,1,2026-09-10 22:14:51,R_9NP2B0bbBDkEEee,anonymous,VI,,FL_56,,1,1,1,1,1,5,6,7,7,7,6,5,7,7,2,3,2,4,3,5,6,6,4,5,7,7,7,7,6,7,6,5,2,7,6,7,7,6,7,7,7,2,6,1.0,1.0,2.0,2.0,4.0,1.0,,4.0,"1,2,3",2.0,0,1,,,,,True,True,True,False,False,False,6.4,6.25,2.8,5.833333333333333,6.333333333333333,6.75,6.75,False
2026-09-10 22:06:15,2026-09-10 22:15:50,0,100,575,1,2026-09-10 22:15:51,R_9H8qVnsYbuj9v0Z,anonymous,VI,,FL_56,,1,1,1,1,1,4,6,6,5,6,5,6,6,6,3,2,2,2,3,5,5,5,4,5,5,4,6,6,6,5,6,6,2,6,6,6,6,7,7,7,7,6,6,1.0,1.0,1.0,1.0,3.0,3.0,,2.0,"1,3",2.0,0,1,,,,,True,False,True,False,False,False,5.4,5.75,2.4,4.666666666666667,5.833333333333333,6.0,7.0,True
2026-09-10 22:35:46,2026-09-10 22:46:49,0,100,663,1,2026-09-10 22:46:49,R_9lzj6f45uFKyYFj,anonymous,VI,,FL_56,,1,1,1,2,1,6,6,7,7,6,5,5,5,5,4,4,4,4,5,5,4,5,4,4,4,5,5,5,4,4,5,4,2,5,5,4,5,6,5,6,6,5,4,1.0,1.0,3.0,1.0,2.0,1.0,,3.0,1,4.0,1,1,,,,,True,False,False,False,False,False,6.4,5.0,4.2,4.333333333333333,4.5,4.75,5.75,False
2026-09-11 02:19:13,2026-09-11 02:56:51,0,100,2258,1,2026-09-11 02:56:57,R_4EbCgHaHvotp11K,anonymous,VI,,FL_56,,1,1,1,1,2,5,6,7,4,6,6,6,5,6,4,4,3,2,3,5,6,6,5,5,5,5,4,5,6,4,4,6,2,6,5,5,5,7,4,4,4,6,6,1.0,1.0,3.0,1.0,2.0,3.0,,3.0,1,1.0,0,0,,,,,True,False,False,False,False,False,5.6,5.75,3.2,5.333333333333333,4.833333333333333,5.25,4.75,True
2026-09-11 04:52:29,2026-09-11 04:56:30,0,100,240,1,2026-09-11 04:56:31,R_4QrHsRD9nnJcL0Q,anonymous,VI,True,FL_56,,1,1,1,2,1,5,6,7,6,7,6,6,5,6,2,2,2,2,2,5,6,6,6,6,6,6,5,6,6,7,6,6,2,6,6,5,6,7,6,5,6,7,7,1.0,1.0,3.0,2.0,3.0,1.0,,3.0,"1,5",4.0,1,1,,,,,True,False,False,False,True,False,6.2,5.75,2.0,6.0,6.0,5.75,6.0,False
2026-09-11 09:18:42,2026-09-11 09:23:54,0,100,311,1,2026-09-11 09:23:55,R_9q98lIs5D4P2nHX,anonymous,VI,,FL_56,,1,1,1,2,2,6,5,6,5,4,6,6,6,5,3,3,3,3,3,5,5,4,5,5,5,4,5,5,4,5,5,4,2,5,5,5,5,7,5,7,6,5,4,1.0,2.0,3.0,1.0,3.0,1.0,,4.0,"1,3,5",3.0,1,0,,,,,True,False,True,False,True,False,5.2,5.75,3.0,4.666666666666667,4.666666666666667,5.0,6.25,False
2026-09-11 09:13:42,2026-09-11 09:32:01,0,100,1099,1,2026-09-11 09:32:02,R_42DNtQCgHS2ux5o,anonymous,VI,,FL_56,,1,1,1,1,1,6,5,5,4,3,5,5,5,6,2,4,3,3,3,5,5,4,2,5,4,5,6,6,6,5,6,5,2,6,6,6,4,6,6,6,4,5,5,1.0,2.0,3.0,2.0,3.0,1.0,,4.0,"1,3",2.0,0,1,,,,,True,False,True,False,False,False,4.6,5.25,3.0,4.166666666666667,5.666666666666667,5.5,5.5,True
2026-09-11 09:16:11,2026-09-11 09:32:52,0,100,1001,1,2026-09-11 09:32:53,R_4JsCwaGfKQOX4Z3,anonymous,VI,,FL_56,,1,1,1,1,2,5,7,7,7,7,5,5,5,6,4,4,4,5,4,5,5,4,5,4,4,5,7,5,5,7,7,4,2,5,5,6,4,7,7,7,7,4,6,1.0,2.0,3.0,1.0,3.0,1.0,,4.0,1,1.0,0,0,,,,,True,False,False,False,False,False,6.6,5.25,4.2,4.5,5.833333333333333,5.0,7.0,False
2026-09-11 09:26:55,2026-09-11 09:35:06,0,100,490,1,2026-09-11 09:35:06,R_42RLX6YiV4Jfxdn,anonymous,VI,,FL_56,,1,1,1,2,1,5,6,5,4,5,4,4,5,4,5,5,7,6,5,5,4,4,2,2,2,2,5,4,4,3,3,4,2,3,5,4,4,7,7,7,7,5,7,1.0,2.0,1.0,1.0,4.0,1.0,,4.0,"1,3",4.0,1,1,,,,,True,False,True,False,False,False,5.0,4.25,5.6,2.6666666666666665,3.8333333333333335,4.0,7.0,False
2026-09-11 09:33:47,2026-09-11 09:36:30,0,100,162,1,2026-09-11 09:36:30,R_9OJ5q48eTqB92bi,anonymous,VI,,FL_56,,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4,6,5,2,4,4,4,3,3,4,4,4,3,5,1.0,2.0,3.0,5.0,5.0,1.0,,4.0,"1,2,3,4,5",2.0,0,1,,,,,True,True,True,True,True,False,4.0,4.0,4.0,4.166666666666667,5.0,3.75,3.75,False
